Date,SPX Close,SPX Volume,VIX Price,VIX Volume,Gold Price,Gold Volume
2014-01-07,1837.8800048828125,3511750000.0,12.920000076293945,412724.0,1326.6,121098.0
2014-01-08,1837.489990234375,3652140000.0,12.869999885559082,893603.0,1293.6,1985.0
2014-01-10,1842.3699951171875,3335710000.0,12.140000343322756,624538.0,1214.6,178.0
2014-01-13,1819.199951171875,3591350000.0,13.279999732971193,1178453.0,1251.1,116647.0
2014-01-14,1838.8800048828125,3353270000.0,12.279999732971193,754015.0,1245.4,138193.0
2014-01-15,1848.3800048828125,3777800000.0,12.279999732971193,411084.0,1238.3,105108.0
2014-01-16,1845.8900146484373,3491310000.0,12.529999732971193,489128.0,1240.2,111667.0
2014-01-17,1838.699951171875,3626120000.0,12.4399995803833,1044960.0,1251.9,112715.0
2014-01-21,1843.800048828125,3782470000.0,12.869999885559082,820229.0,1241.8,174694.0
2014-01-22,1844.8599853515625,3374170000.0,12.84000015258789,819874.0,1238.6,86791.0
2014-01-23,1828.4599609375,3972250000.0,13.770000457763672,787380.0,1262.3,209347.0
2014-01-24,1790.2900390625,4618450000.0,18.13999938964844,1621799.0,1264.3,161723.0
2014-01-27,1781.56005859375,4045200000.0,17.420000076293945,1251257.0,1263.4,167219.0
2014-01-28,1792.5,3437830000.0,15.800000190734865,749479.0,1250.8,155996.0
2014-01-29,1774.199951171875,3964020000.0,17.350000381469727,651192.0,1262.2,137028.0
2014-01-30,1794.18994140625,3547510000.0,17.290000915527347,688582.0,1242.2,45276.0
2014-01-31,1782.5899658203125,4059690000.0,18.40999984741211,1684472.0,1240.1,5820.0
2014-02-04,1755.199951171875,4068410000.0,19.11000061035156,839494.0,1290.5,1099.0
2014-02-05,1751.6400146484375,3984290000.0,19.950000762939453,478454.0,1302.9,171945.0
2014-02-06,1773.4300537109375,3825410000.0,17.229999542236328,435159.0,1243.7,774.0
2014-02-07,1797.02001953125,3775990000.0,15.289999961853027,378610.0,1330.9,114091.0
2014-02-10,1799.8399658203125,3312160000.0,15.260000228881836,637102.0,1214.2,176.0
2014-02-12,1819.260009765625,3326380000.0,14.300000190734865,533347.0,1199.2,1236.0
2014-02-13,1829.8299560546875,3289510000.0,14.140000343322756,517684.0,1300.4,877.0
2014-02-14,1838.6300048828125,3114750000.0,13.56999969482422,816538.0,1319.0,308.0
2014-02-18,1840.760009765625,3421110000.0,13.869999885559082,1072910.0,1324.7,373.0
2014-02-19,1828.75,3661570000.0,15.5,852276.0,1320.6,193.0
2014-02-20,1839.780029296875,3404980000.0,14.789999961853027,768135.0,1317.1,116.0
2014-02-21,1836.25,3403880000.0,14.68000030517578,471757.0,1323.9,171.0
2014-02-24,1847.6099853515625,4014530000.0,14.229999542236328,465767.0,1338.3,93.0
2014-02-25,1845.1199951171875,3515560000.0,13.670000076293945,450090.0,1343.0,290.0
2014-02-26,1845.1600341796875,3716730000.0,14.350000381469727,404627.0,1328.2,57.0
2014-02-27,1854.2900390625,3547460000.0,14.039999961853027,318221.0,1331.8,120165.0
2014-02-28,1859.449951171875,3917450000.0,14.0,751323.0,1321.6,132783.0
2014-03-03,1845.72998046875,3428220000.0,16.0,1090072.0,1350.3,159743.0
2014-03-04,1873.9100341796875,3765770000.0,14.100000381469727,426378.0,1284.4,775.0
